vout	I(Iout)
1.630000000000001e+00	1.903383e-06
1.640000000000001e+00	1.704169e-06
1.650000000000001e+00	1.517618e-06
1.660000000000001e+00	1.343619e-06
1.670000000000001e+00	1.182047e-06
1.680000000000001e+00	1.032752e-06
1.690000000000001e+00	8.955617e-07
1.700000000000001e+00	7.702749e-07
1.710000000000001e+00	6.566571e-07
1.720000000000001e+00	5.544349e-07
1.730000000000001e+00	4.632903e-07
1.740000000000001e+00	3.828522e-07
1.750000000000001e+00	3.126889e-07
1.760000000000001e+00	2.522983e-07
1.770000000000001e+00	2.010996e-07
1.780000000000001e+00	1.584268e-07
1.790000000000001e+00	1.235260e-07
1.800000000000001e+00	9.556483e-08
1.810000000000001e+00	7.366265e-08
1.820000000000001e+00	5.688678e-08
1.830000000000001e+00	4.431013e-08
1.840000000000001e+00	3.506327e-08
1.850000000000001e+00	2.837621e-08
1.860000000000001e+00	2.360435e-08
1.870000000000001e+00	2.023313e-08
1.880000000000001e+00	1.786718e-08
1.890000000000001e+00	1.621211e-08
1.900000000000001e+00	1.505415e-08
1.910000000000001e+00	1.424098e-08
1.920000000000001e+00	1.366561e-08
1.930000000000001e+00	1.325357e-08
1.940000000000002e+00	1.295343e-08
1.950000000000002e+00	1.272983e-08
1.960000000000002e+00	1.255853e-08
1.970000000000002e+00	1.242297e-08
1.980000000000002e+00	1.231181e-08
1.990000000000002e+00	1.221736e-08
2.000000000000001e+00	1.213435e-08
2.010000000000001e+00	1.205918e-08
2.020000000000001e+00	1.198943e-08
2.030000000000001e+00	1.192342e-08
2.040000000000000e+00	1.186002e-08
2.050000000000000e+00	1.179845e-08
2.060000000000000e+00	1.173818e-08
2.070000000000000e+00	1.167887e-08
2.080000000000000e+00	1.162025e-08
2.089999999999999e+00	1.156217e-08
2.099999999999999e+00	1.150451e-08
2.109999999999999e+00	1.144720e-08
2.119999999999999e+00	1.139017e-08
2.129999999999999e+00	1.133336e-08
2.139999999999998e+00	1.127674e-08
2.149999999999998e+00	1.122028e-08
2.159999999999998e+00	1.116397e-08
2.169999999999998e+00	1.110781e-08
2.179999999999997e+00	1.105178e-08
2.189999999999997e+00	1.099588e-08
2.199999999999997e+00	1.094011e-08
2.209999999999997e+00	1.088446e-08
2.219999999999997e+00	1.082894e-08
2.229999999999996e+00	1.077353e-08
2.239999999999996e+00	1.071824e-08
2.249999999999996e+00	1.066307e-08
2.259999999999996e+00	1.060800e-08
2.269999999999996e+00	1.055304e-08
2.279999999999995e+00	1.049818e-08
2.289999999999995e+00	1.044343e-08
2.299999999999995e+00	1.038878e-08
2.309999999999995e+00	1.033422e-08
2.319999999999995e+00	1.027976e-08
2.329999999999994e+00	1.022539e-08
2.339999999999994e+00	1.017112e-08
2.349999999999994e+00	1.011694e-08
2.359999999999994e+00	1.006284e-08
2.369999999999993e+00	1.000883e-08
2.379999999999993e+00	9.954900e-09
2.389999999999993e+00	9.901055e-09
2.399999999999993e+00	9.847290e-09
2.409999999999993e+00	9.793604e-09
2.419999999999992e+00	9.739995e-09
2.429999999999992e+00	9.686461e-09
2.439999999999992e+00	9.633001e-09
2.449999999999992e+00	9.579614e-09
2.459999999999992e+00	9.526297e-09
2.469999999999991e+00	9.473050e-09
2.479999999999991e+00	9.419870e-09
2.489999999999991e+00	9.366758e-09
2.499999999999991e+00	9.313710e-09
2.509999999999990e+00	9.260726e-09
2.519999999999990e+00	9.207805e-09
2.529999999999990e+00	9.154945e-09
2.539999999999990e+00	9.102146e-09
2.549999999999990e+00	9.049405e-09
2.559999999999989e+00	8.996722e-09
2.569999999999989e+00	8.944094e-09
2.579999999999989e+00	8.891523e-09
2.589999999999989e+00	8.839005e-09
2.599999999999989e+00	8.786541e-09
2.609999999999988e+00	8.734129e-09
2.619999999999988e+00	8.681767e-09
2.629999999999988e+00	8.629455e-09
2.639999999999988e+00	8.577192e-09
2.649999999999987e+00	8.524977e-09
2.659999999999987e+00	8.472809e-09
2.669999999999987e+00	8.420686e-09
2.679999999999987e+00	8.368609e-09
2.689999999999987e+00	8.316575e-09
2.699999999999986e+00	8.264584e-09
2.709999999999986e+00	8.212635e-09
2.719999999999986e+00	8.160727e-09
2.729999999999986e+00	8.108859e-09
2.739999999999986e+00	8.057031e-09
2.749999999999985e+00	8.005242e-09
2.759999999999985e+00	7.953489e-09
2.769999999999985e+00	7.901773e-09
2.779999999999985e+00	7.850094e-09
2.789999999999984e+00	7.798449e-09
2.799999999999984e+00	7.746839e-09
2.809999999999984e+00	7.695262e-09
2.819999999999984e+00	7.643718e-09
2.829999999999984e+00	7.592205e-09
2.839999999999983e+00	7.540724e-09
2.849999999999983e+00	7.489272e-09
2.859999999999983e+00	7.437850e-09
2.869999999999983e+00	7.386457e-09
2.879999999999983e+00	7.335092e-09
2.889999999999982e+00	7.283754e-09
2.899999999999982e+00	7.232443e-09
2.909999999999982e+00	7.181157e-09
2.919999999999982e+00	7.129896e-09
2.929999999999982e+00	7.078660e-09
2.939999999999981e+00	7.027447e-09
2.949999999999981e+00	6.976257e-09
2.959999999999981e+00	6.925089e-09
2.969999999999981e+00	6.873943e-09
2.979999999999980e+00	6.822818e-09
2.989999999999980e+00	6.771713e-09
2.999999999999980e+00	6.720626e-09
3.009999999999980e+00	6.669559e-09
3.019999999999980e+00	6.618510e-09
3.029999999999979e+00	6.567478e-09
3.039999999999979e+00	6.516462e-09
3.049999999999979e+00	6.465463e-09
3.059999999999979e+00	6.414480e-09
3.069999999999979e+00	6.363511e-09
3.079999999999978e+00	6.312555e-09
3.089999999999978e+00	6.261613e-09
3.099999999999978e+00	6.210685e-09
3.109999999999978e+00	6.159768e-09
3.119999999999977e+00	6.108862e-09
3.129999999999977e+00	6.057968e-09
3.139999999999977e+00	6.007083e-09
3.149999999999977e+00	5.956208e-09
3.159999999999977e+00	5.905342e-09
3.169999999999976e+00	5.854484e-09
3.179999999999976e+00	5.803634e-09
3.189999999999976e+00	5.752790e-09
3.199999999999976e+00	5.701954e-09
3.209999999999976e+00	5.651122e-09
3.219999999999975e+00	5.600296e-09
3.229999999999975e+00	5.549474e-09
3.239999999999975e+00	5.498655e-09
3.249999999999975e+00	5.447840e-09
3.259999999999974e+00	5.397028e-09
3.269999999999974e+00	5.346217e-09
3.279999999999974e+00	5.295408e-09
3.289999999999974e+00	5.244599e-09
3.299999999999974e+00	5.193790e-09
3.309999999999973e+00	5.142981e-09
3.319999999999973e+00	5.092170e-09
3.329999999999973e+00	5.041357e-09
3.339999999999973e+00	4.990542e-09
