vout	I(Iout)
1.790000000000001e+00	2.341266e-07
1.800000000000001e+00	2.328749e-07
1.810000000000001e+00	2.316277e-07
1.820000000000001e+00	2.303846e-07
1.830000000000001e+00	2.291456e-07
1.840000000000001e+00	2.279105e-07
1.850000000000001e+00	2.266794e-07
1.860000000000001e+00	2.254519e-07
1.870000000000001e+00	2.242281e-07
1.880000000000001e+00	2.230079e-07
1.890000000000001e+00	2.217911e-07
1.900000000000001e+00	2.205776e-07
1.910000000000001e+00	2.193674e-07
1.920000000000001e+00	2.181604e-07
1.930000000000001e+00	2.169565e-07
1.940000000000002e+00	2.157555e-07
1.950000000000002e+00	2.145575e-07
1.960000000000002e+00	2.133624e-07
1.970000000000002e+00	2.121700e-07
1.980000000000002e+00	2.109804e-07
1.990000000000002e+00	2.097933e-07
2.000000000000001e+00	2.086089e-07
2.010000000000001e+00	2.074269e-07
2.020000000000001e+00	2.062474e-07
2.030000000000001e+00	2.050703e-07
2.040000000000000e+00	2.038955e-07
2.050000000000000e+00	2.027229e-07
2.060000000000000e+00	2.015525e-07
2.070000000000000e+00	2.003843e-07
2.080000000000000e+00	1.992181e-07
2.089999999999999e+00	1.980540e-07
2.099999999999999e+00	1.968919e-07
2.109999999999999e+00	1.957317e-07
2.119999999999999e+00	1.945734e-07
2.129999999999999e+00	1.934169e-07
2.139999999999998e+00	1.922621e-07
2.149999999999998e+00	1.911092e-07
2.159999999999998e+00	1.899579e-07
2.169999999999998e+00	1.888083e-07
2.179999999999997e+00	1.876602e-07
2.189999999999997e+00	1.865138e-07
2.199999999999997e+00	1.853688e-07
2.209999999999997e+00	1.842253e-07
2.219999999999997e+00	1.830833e-07
2.229999999999996e+00	1.819427e-07
2.239999999999996e+00	1.808034e-07
2.249999999999996e+00	1.796654e-07
2.259999999999996e+00	1.785288e-07
2.269999999999996e+00	1.773933e-07
2.279999999999995e+00	1.762591e-07
2.289999999999995e+00	1.751261e-07
2.299999999999995e+00	1.739942e-07
2.309999999999995e+00	1.728635e-07
2.319999999999995e+00	1.717337e-07
2.329999999999994e+00	1.706051e-07
2.339999999999994e+00	1.694775e-07
2.349999999999994e+00	1.683508e-07
2.359999999999994e+00	1.672251e-07
2.369999999999993e+00	1.661003e-07
2.379999999999993e+00	1.649764e-07
2.389999999999993e+00	1.638533e-07
2.399999999999993e+00	1.627311e-07
2.409999999999993e+00	1.616096e-07
2.419999999999992e+00	1.604890e-07
2.429999999999992e+00	1.593691e-07
2.439999999999992e+00	1.582499e-07
2.449999999999992e+00	1.571314e-07
2.459999999999992e+00	1.560135e-07
2.469999999999991e+00	1.548963e-07
2.479999999999991e+00	1.537797e-07
