vout	I(Iout)
3.610000000000001e-002	1.928258e-006
3.620000000000001e-002	1.925993e-006
3.630000000000001e-002	1.923729e-006
3.640000000000002e-002	1.921468e-006
3.650000000000002e-002	1.919208e-006
3.660000000000002e-002	1.916949e-006
3.670000000000002e-002	1.914692e-006
3.680000000000003e-002	1.912437e-006
3.690000000000003e-002	1.910184e-006
3.700000000000003e-002	1.907932e-006
3.710000000000004e-002	1.905682e-006
3.720000000000004e-002	1.903434e-006
3.730000000000004e-002	1.901187e-006
3.740000000000004e-002	1.898942e-006
3.750000000000005e-002	1.896699e-006
3.760000000000005e-002	1.894457e-006
3.770000000000005e-002	1.892217e-006
3.780000000000006e-002	1.889979e-006
3.790000000000006e-002	1.887742e-006
3.800000000000006e-002	1.885507e-006
3.810000000000006e-002	1.883274e-006
3.820000000000007e-002	1.881043e-006
3.830000000000007e-002	1.878813e-006
3.840000000000007e-002	1.876584e-006
3.850000000000008e-002	1.874358e-006
3.860000000000008e-002	1.872133e-006
3.870000000000008e-002	1.869910e-006
3.880000000000008e-002	1.867688e-006
3.890000000000009e-002	1.865468e-006
3.900000000000009e-002	1.863250e-006
3.910000000000009e-002	1.861034e-006
3.920000000000010e-002	1.858819e-006
3.930000000000010e-002	1.856605e-006
3.940000000000010e-002	1.854394e-006
3.950000000000010e-002	1.852184e-006
3.960000000000011e-002	1.849976e-006
3.970000000000011e-002	1.847769e-006
3.980000000000011e-002	1.845565e-006
3.990000000000012e-002	1.843361e-006
4.000000000000012e-002	1.841160e-006
4.010000000000012e-002	1.838960e-006
4.020000000000013e-002	1.836762e-006
4.030000000000013e-002	1.834565e-006
4.040000000000013e-002	1.832371e-006
4.050000000000013e-002	1.830177e-006
4.060000000000014e-002	1.827986e-006
4.070000000000014e-002	1.825796e-006
4.080000000000014e-002	1.823608e-006
4.090000000000015e-002	1.821422e-006
4.100000000000015e-002	1.819237e-006
4.110000000000015e-002	1.817054e-006
4.120000000000015e-002	1.814872e-006
4.130000000000016e-002	1.812692e-006
4.140000000000016e-002	1.810514e-006
4.150000000000016e-002	1.808338e-006
4.160000000000017e-002	1.806163e-006
4.170000000000017e-002	1.803990e-006
4.180000000000017e-002	1.801818e-006
4.190000000000017e-002	1.799648e-006
4.200000000000018e-002	1.797480e-006
4.210000000000018e-002	1.795314e-006
4.220000000000018e-002	1.793149e-006
4.230000000000019e-002	1.790986e-006
4.240000000000019e-002	1.788824e-006
4.250000000000019e-002	1.786664e-006
4.260000000000019e-002	1.784506e-006
4.270000000000020e-002	1.782350e-006
4.280000000000020e-002	1.780195e-006
4.290000000000020e-002	1.778042e-006
4.300000000000021e-002	1.775890e-006
4.310000000000021e-002	1.773740e-006
4.320000000000021e-002	1.771592e-006
4.330000000000021e-002	1.769445e-006
4.340000000000022e-002	1.767300e-006
4.350000000000022e-002	1.765157e-006
4.360000000000022e-002	1.763016e-006
4.370000000000023e-002	1.760876e-006
4.380000000000023e-002	1.758737e-006
4.390000000000023e-002	1.756601e-006
4.400000000000023e-002	1.754466e-006
4.410000000000024e-002	1.752333e-006
4.420000000000024e-002	1.750201e-006
4.430000000000024e-002	1.748071e-006
4.440000000000025e-002	1.745943e-006
4.450000000000025e-002	1.743816e-006
4.460000000000025e-002	1.741691e-006
4.470000000000025e-002	1.739568e-006
4.480000000000026e-002	1.737446e-006
4.490000000000026e-002	1.735326e-006
4.500000000000026e-002	1.733208e-006
4.510000000000027e-002	1.731091e-006
4.520000000000027e-002	1.728976e-006
4.530000000000027e-002	1.726862e-006
4.540000000000027e-002	1.724751e-006
4.550000000000028e-002	1.722641e-006
4.560000000000028e-002	1.720532e-006
4.570000000000028e-002	1.718425e-006
4.580000000000029e-002	1.716320e-006
4.590000000000029e-002	1.714217e-006
4.600000000000029e-002	1.712115e-006
4.610000000000029e-002	1.710015e-006
4.620000000000030e-002	1.707916e-006
4.630000000000030e-002	1.705819e-006
4.640000000000030e-002	1.703724e-006
4.650000000000031e-002	1.701630e-006
4.660000000000031e-002	1.699539e-006
4.670000000000031e-002	1.697448e-006
4.680000000000031e-002	1.695360e-006
4.690000000000032e-002	1.693273e-006
4.700000000000032e-002	1.691187e-006
4.710000000000032e-002	1.689104e-006
4.720000000000033e-002	1.687022e-006
4.730000000000033e-002	1.684941e-006
4.740000000000033e-002	1.682862e-006
4.750000000000033e-002	1.680785e-006
4.760000000000034e-002	1.678710e-006
4.770000000000034e-002	1.676636e-006
4.780000000000034e-002	1.674564e-006
4.790000000000035e-002	1.672493e-006
4.800000000000035e-002	1.670425e-006
4.810000000000035e-002	1.668357e-006
4.820000000000035e-002	1.666292e-006
4.830000000000036e-002	1.664228e-006
4.840000000000036e-002	1.662166e-006
4.850000000000036e-002	1.660105e-006
4.860000000000037e-002	1.658046e-006
4.870000000000037e-002	1.655989e-006
4.880000000000037e-002	1.653933e-006
4.890000000000037e-002	1.651879e-006
4.900000000000038e-002	1.649827e-006
4.910000000000038e-002	1.647776e-006
4.920000000000038e-002	1.645727e-006
4.930000000000039e-002	1.643679e-006
4.940000000000039e-002	1.641634e-006
4.950000000000039e-002	1.639589e-006
4.960000000000039e-002	1.637547e-006
4.970000000000040e-002	1.635506e-006
4.980000000000040e-002	1.633467e-006
4.990000000000040e-002	1.631429e-006
5.000000000000041e-002	1.629393e-006
5.010000000000041e-002	1.627359e-006
5.020000000000041e-002	1.625326e-006
5.030000000000041e-002	1.623295e-006
5.040000000000042e-002	1.621265e-006
5.050000000000042e-002	1.619238e-006
5.060000000000042e-002	1.617212e-006
5.070000000000043e-002	1.615187e-006
5.080000000000043e-002	1.613164e-006
5.090000000000043e-002	1.611143e-006
5.100000000000043e-002	1.609123e-006
5.110000000000044e-002	1.607105e-006
5.120000000000044e-002	1.605089e-006
5.130000000000044e-002	1.603074e-006
