vout	I(Iout)
1.929999999999994e-002	3.015951e-008
1.939999999999994e-002	3.006170e-008
1.949999999999994e-002	2.996420e-008
1.959999999999994e-002	2.986703e-008
1.969999999999994e-002	2.977017e-008
1.979999999999994e-002	2.967363e-008
1.989999999999994e-002	2.957741e-008
1.999999999999993e-002	2.948151e-008
2.009999999999993e-002	2.938592e-008
2.019999999999993e-002	2.929064e-008
2.029999999999993e-002	2.919568e-008
2.039999999999993e-002	2.910103e-008
2.049999999999993e-002	2.900669e-008
2.059999999999993e-002	2.891266e-008
2.069999999999993e-002	2.881894e-008
2.079999999999993e-002	2.872553e-008
2.089999999999993e-002	2.863243e-008
2.099999999999993e-002	2.853963e-008
2.109999999999993e-002	2.844715e-008
2.119999999999993e-002	2.835496e-008
2.129999999999993e-002	2.826308e-008
2.139999999999993e-002	2.817151e-008
2.149999999999993e-002	2.808024e-008
2.159999999999993e-002	2.798926e-008
2.169999999999992e-002	2.789859e-008
2.179999999999992e-002	2.780823e-008
2.189999999999992e-002	2.771815e-008
2.199999999999992e-002	2.762838e-008
2.209999999999992e-002	2.753890e-008
2.219999999999992e-002	2.744973e-008
2.229999999999992e-002	2.736084e-008
2.239999999999992e-002	2.727226e-008
2.249999999999992e-002	2.718396e-008
2.259999999999992e-002	2.709596e-008
2.269999999999992e-002	2.700825e-008
2.279999999999992e-002	2.692083e-008
2.289999999999992e-002	2.683371e-008
2.299999999999992e-002	2.674687e-008
2.309999999999992e-002	2.666032e-008
2.319999999999992e-002	2.657406e-008
2.329999999999992e-002	2.648808e-008
2.339999999999991e-002	2.640240e-008
2.349999999999991e-002	2.631699e-008
2.359999999999991e-002	2.623188e-008
2.369999999999991e-002	2.614705e-008
2.379999999999991e-002	2.606249e-008
2.389999999999991e-002	2.597823e-008
2.399999999999991e-002	2.589424e-008
2.409999999999991e-002	2.581053e-008
2.419999999999991e-002	2.572710e-008
2.429999999999991e-002	2.564396e-008
2.439999999999991e-002	2.556109e-008
2.449999999999991e-002	2.547849e-008
2.459999999999991e-002	2.539617e-008
2.469999999999991e-002	2.531413e-008
2.479999999999991e-002	2.523237e-008
2.489999999999991e-002	2.515087e-008
2.499999999999990e-002	2.506965e-008
2.509999999999990e-002	2.498870e-008
2.519999999999990e-002	2.490803e-008
2.529999999999990e-002	2.482762e-008
2.539999999999990e-002	2.474749e-008
2.549999999999990e-002	2.466762e-008
