v1	V(n005)	I(I1)	I(I2)	I(Ib)
3.690999999999990e+00	2.611399e+00	1.574872e-11	9.820472e-08	9.819114e-08
3.691999999999990e+00	2.611399e+00	1.600965e-11	9.820446e-08	9.819114e-08
3.692999999999990e+00	2.611399e+00	1.627898e-11	9.820419e-08	9.819114e-08
3.693999999999990e+00	2.611399e+00	1.655698e-11	9.820391e-08	9.819114e-08
3.694999999999990e+00	2.611399e+00	1.684393e-11	9.820363e-08	9.819114e-08
3.695999999999990e+00	2.611399e+00	1.714011e-11	9.820333e-08	9.819114e-08
3.696999999999989e+00	2.611400e+00	1.744582e-11	9.820302e-08	9.819114e-08
3.697999999999989e+00	2.611400e+00	1.776137e-11	9.820271e-08	9.819114e-08
3.698999999999989e+00	2.611400e+00	1.808708e-11	9.820238e-08	9.819114e-08
3.699999999999989e+00	2.611400e+00	1.842327e-11	9.820204e-08	9.819114e-08
3.700999999999989e+00	2.611400e+00	1.877028e-11	9.820170e-08	9.819114e-08
3.701999999999989e+00	2.611400e+00	1.912846e-11	9.820134e-08	9.819114e-08
3.702999999999989e+00	2.611400e+00	1.949817e-11	9.820097e-08	9.819114e-08
3.703999999999989e+00	2.611401e+00	1.987978e-11	9.820059e-08	9.819114e-08
3.704999999999989e+00	2.611401e+00	2.027367e-11	9.820020e-08	9.819114e-08
3.705999999999988e+00	2.611401e+00	2.068024e-11	9.819979e-08	9.819114e-08
3.706999999999988e+00	2.611401e+00	2.109990e-11	9.819937e-08	9.819114e-08
3.707999999999988e+00	2.611401e+00	2.153307e-11	9.819894e-08	9.819114e-08
3.708999999999988e+00	2.611401e+00	2.198017e-11	9.819849e-08	9.819114e-08
3.709999999999988e+00	2.611401e+00	2.244167e-11	9.819803e-08	9.819114e-08
3.710999999999988e+00	2.611402e+00	2.291803e-11	9.819755e-08	9.819114e-08
3.711999999999988e+00	2.611402e+00	2.340972e-11	9.819706e-08	9.819114e-08
3.712999999999988e+00	2.611402e+00	2.391723e-11	9.819656e-08	9.819114e-08
3.713999999999988e+00	2.611402e+00	2.444108e-11	9.819603e-08	9.819114e-08
3.714999999999987e+00	2.611402e+00	2.498180e-11	9.819549e-08	9.819114e-08
3.715999999999987e+00	2.611403e+00	2.553992e-11	9.819494e-08	9.819114e-08
3.716999999999987e+00	2.611403e+00	2.611601e-11	9.819436e-08	9.819115e-08
3.717999999999987e+00	2.611403e+00	2.671063e-11	9.819377e-08	9.819115e-08
3.718999999999987e+00	2.611403e+00	2.732440e-11	9.819315e-08	9.819115e-08
3.719999999999987e+00	2.611403e+00	2.795793e-11	9.819252e-08	9.819115e-08
3.720999999999987e+00	2.611404e+00	2.861186e-11	9.819187e-08	9.819115e-08
3.721999999999987e+00	2.611404e+00	2.928683e-11	9.819119e-08	9.819115e-08
3.722999999999987e+00	2.611404e+00	2.998353e-11	9.819050e-08	9.819115e-08
3.723999999999986e+00	2.611404e+00	3.070264e-11	9.818978e-08	9.819115e-08
3.724999999999986e+00	2.611405e+00	3.144492e-11	9.818903e-08	9.819115e-08
3.725999999999986e+00	2.611405e+00	3.221108e-11	9.818827e-08	9.819115e-08
3.726999999999986e+00	2.611405e+00	3.300191e-11	9.818748e-08	9.819115e-08
3.727999999999986e+00	2.611406e+00	3.381820e-11	9.818667e-08	9.819115e-08
3.728999999999986e+00	2.611406e+00	3.466076e-11	9.818582e-08	9.819116e-08
3.729999999999986e+00	2.611406e+00	3.553044e-11	9.818496e-08	9.819116e-08
3.730999999999986e+00	2.611407e+00	3.642811e-11	9.818406e-08	9.819116e-08
3.731999999999986e+00	2.611407e+00	3.735469e-11	9.818314e-08	9.819116e-08
3.732999999999985e+00	2.611407e+00	3.831108e-11	9.818218e-08	9.819116e-08
3.733999999999985e+00	2.611408e+00	3.929826e-11	9.818119e-08	9.819116e-08
3.734999999999985e+00	2.611408e+00	4.031721e-11	9.818017e-08	9.819116e-08
3.735999999999985e+00	2.611408e+00	4.136895e-11	9.817912e-08	9.819116e-08
3.736999999999985e+00	2.611409e+00	4.245456e-11	9.817803e-08	9.819117e-08
3.737999999999985e+00	2.611409e+00	4.357509e-11	9.817692e-08	9.819117e-08
3.738999999999985e+00	2.611409e+00	4.473169e-11	9.817576e-08	9.819117e-08
3.739999999999985e+00	2.611410e+00	4.592553e-11	9.817457e-08	9.819117e-08
3.740999999999985e+00	2.611410e+00	4.715777e-11	9.817334e-08	9.819117e-08
3.741999999999984e+00	2.611411e+00	4.842968e-11	9.817207e-08	9.819117e-08
3.742999999999984e+00	2.611411e+00	4.974252e-11	9.817076e-08	9.819117e-08
3.743999999999984e+00	2.611412e+00	5.109761e-11	9.816940e-08	9.819117e-08
3.744999999999984e+00	2.611412e+00	5.249630e-11	9.816800e-08	9.819117e-08
3.745999999999984e+00	2.611413e+00	5.394001e-11	9.816656e-08	9.819117e-08
3.746999999999984e+00	2.611413e+00	5.543016e-11	9.816507e-08	9.819117e-08
3.747999999999984e+00	2.611414e+00	5.696827e-11	9.816354e-08	9.819117e-08
3.748999999999984e+00	2.611414e+00	5.855587e-11	9.816195e-08	9.819118e-08
3.749999999999984e+00	2.611415e+00	6.019454e-11	9.816031e-08	9.819118e-08
3.750999999999983e+00	2.611416e+00	6.188595e-11	9.815862e-08	9.819118e-08
3.751999999999983e+00	2.611416e+00	6.363177e-11	9.815688e-08	9.819118e-08
3.752999999999983e+00	2.611417e+00	6.543374e-11	9.815508e-08	9.819118e-08
3.753999999999983e+00	2.611418e+00	6.729369e-11	9.815322e-08	9.819119e-08
3.754999999999983e+00	2.611418e+00	6.921348e-11	9.815130e-08	9.819119e-08
3.755999999999983e+00	2.611419e+00	7.119501e-11	9.814932e-08	9.819119e-08
3.756999999999983e+00	2.611420e+00	7.324027e-11	9.814728e-08	9.819119e-08
3.757999999999983e+00	2.611420e+00	7.535132e-11	9.814517e-08	9.819119e-08
3.758999999999983e+00	2.611421e+00	7.753026e-11	9.814299e-08	9.819119e-08
3.759999999999982e+00	2.611422e+00	7.977928e-11	9.814075e-08	9.819119e-08
3.760999999999982e+00	2.611423e+00	8.210062e-11	9.813843e-08	9.819120e-08
3.761999999999982e+00	2.611424e+00	8.449660e-11	9.813603e-08	9.819120e-08
3.762999999999982e+00	2.611425e+00	8.696961e-11	9.813356e-08	9.819120e-08
3.763999999999982e+00	2.611426e+00	8.952214e-11	9.813101e-08	9.819120e-08
3.764999999999982e+00	2.611427e+00	9.215673e-11	9.812838e-08	9.819121e-08
3.765999999999982e+00	2.611428e+00	9.487600e-11	9.812566e-08	9.819121e-08
3.766999999999982e+00	2.611428e+00	9.768268e-11	9.812286e-08	9.819121e-08
3.767999999999982e+00	2.611429e+00	1.005796e-10	9.811996e-08	9.819122e-08
3.768999999999981e+00	2.611431e+00	1.035696e-10	9.811698e-08	9.819122e-08
3.769999999999981e+00	2.611432e+00	1.066556e-10	9.811389e-08	9.819122e-08
3.770999999999981e+00	2.611433e+00	1.098409e-10	9.811071e-08	9.819122e-08
3.771999999999981e+00	2.611434e+00	1.131284e-10	9.810743e-08	9.819122e-08
3.772999999999981e+00	2.611435e+00	1.165216e-10	9.810404e-08	9.819123e-08
3.773999999999981e+00	2.611437e+00	1.200238e-10	9.810054e-08	9.819123e-08
3.774999999999981e+00	2.611438e+00	1.236384e-10	9.809693e-08	9.819124e-08
3.775999999999981e+00	2.611439e+00	1.273692e-10	9.809320e-08	9.819124e-08
3.776999999999981e+00	2.611441e+00	1.312197e-10	9.808935e-08	9.819124e-08
3.777999999999980e+00	2.611442e+00	1.351939e-10	9.808538e-08	9.819124e-08
3.778999999999980e+00	2.611444e+00	1.392956e-10	9.808128e-08	9.819125e-08
3.779999999999980e+00	2.611445e+00	1.435290e-10	9.807705e-08	9.819125e-08
3.780999999999980e+00	2.611447e+00	1.478983e-10	9.807269e-08	9.819126e-08
3.781999999999980e+00	2.611448e+00	1.524078e-10	9.806818e-08	9.819126e-08
3.782999999999980e+00	2.611450e+00	1.570619e-10	9.806353e-08	9.819126e-08
3.783999999999980e+00	2.611452e+00	1.618654e-10	9.805873e-08	9.819127e-08
3.784999999999980e+00	2.611454e+00	1.668229e-10	9.805378e-08	9.819127e-08
3.785999999999980e+00	2.611455e+00	1.719395e-10	9.804867e-08	9.819128e-08
3.786999999999979e+00	2.611457e+00	1.772200e-10	9.804339e-08	9.819128e-08
3.787999999999979e+00	2.611459e+00	1.826699e-10	9.803795e-08	9.819129e-08
3.788999999999979e+00	2.611461e+00	1.882944e-10	9.803233e-08	9.819129e-08
3.789999999999979e+00	2.611463e+00	1.940992e-10	9.802653e-08	9.819130e-08
3.790999999999979e+00	2.611465e+00	2.000899e-10	9.802054e-08	9.819130e-08
3.791999999999979e+00	2.611468e+00	2.062726e-10	9.801437e-08	9.819131e-08
3.792999999999979e+00	2.611470e+00	2.126532e-10	9.800799e-08	9.819131e-08
3.793999999999979e+00	2.611472e+00	2.192382e-10	9.800141e-08	9.819132e-08
