vin	Ix(U2:GND)
3.099999999999978e+00	1.892025e-04
3.109999999999978e+00	1.904928e-04
3.119999999999977e+00	1.917856e-04
3.129999999999977e+00	1.930809e-04
3.139999999999977e+00	1.943788e-04
3.149999999999977e+00	1.956791e-04
3.159999999999977e+00	1.969819e-04
3.169999999999976e+00	1.982871e-04
3.179999999999976e+00	1.995948e-04
3.189999999999976e+00	2.009049e-04
3.199999999999976e+00	2.022174e-04
3.209999999999976e+00	2.035324e-04
3.219999999999975e+00	2.048497e-04
3.229999999999975e+00	2.061694e-04
3.239999999999975e+00	2.074914e-04
3.249999999999975e+00	2.088158e-04
3.259999999999974e+00	2.101425e-04
3.269999999999974e+00	2.114715e-04
3.279999999999974e+00	2.128028e-04
3.289999999999974e+00	2.141364e-04
3.299999999999974e+00	2.154722e-04
3.309999999999973e+00	2.168103e-04
3.319999999999973e+00	2.181507e-04
3.329999999999973e+00	2.194933e-04
3.339999999999973e+00	2.208380e-04
3.349999999999973e+00	2.221850e-04
3.359999999999972e+00	2.235342e-04
3.369999999999972e+00	2.248856e-04
3.379999999999972e+00	2.262391e-04
3.389999999999972e+00	2.275947e-04
3.399999999999971e+00	2.289525e-04
3.409999999999971e+00	2.303124e-04
3.419999999999971e+00	2.316744e-04
3.429999999999971e+00	2.330385e-04
3.439999999999971e+00	2.344047e-04
3.449999999999970e+00	2.357730e-04
3.459999999999970e+00	2.371432e-04
3.469999999999970e+00	2.385156e-04
3.479999999999970e+00	2.398900e-04
3.489999999999970e+00	2.412663e-04
3.499999999999969e+00	2.426447e-04
3.509999999999969e+00	2.440251e-04
3.519999999999969e+00	2.454075e-04
3.529999999999969e+00	2.467918e-04
3.539999999999969e+00	2.481781e-04
3.549999999999968e+00	2.495663e-04
3.559999999999968e+00	2.509564e-04
3.569999999999968e+00	2.523485e-04
3.579999999999968e+00	2.537424e-04
3.589999999999967e+00	2.551383e-04
3.599999999999967e+00	2.565360e-04
3.609999999999967e+00	2.579356e-04
3.619999999999967e+00	2.593370e-04
3.629999999999967e+00	2.607403e-04
3.639999999999966e+00	2.621454e-04
3.649999999999966e+00	2.635524e-04
3.659999999999966e+00	2.649611e-04
3.669999999999966e+00	2.663716e-04
3.679999999999966e+00	2.677840e-04
3.689999999999965e+00	2.691981e-04
3.699999999999965e+00	2.706139e-04
3.709999999999965e+00	2.720316e-04
3.719999999999965e+00	2.734509e-04
3.729999999999964e+00	2.748720e-04
3.739999999999964e+00	2.762947e-04
3.749999999999964e+00	2.777192e-04
3.759999999999964e+00	2.791454e-04
3.769999999999964e+00	2.805733e-04
3.779999999999963e+00	2.820028e-04
3.789999999999963e+00	2.834340e-04
3.799999999999963e+00	2.848669e-04
3.809999999999963e+00	2.863014e-04
3.819999999999963e+00	2.877375e-04
3.829999999999962e+00	2.891752e-04
3.839999999999962e+00	2.906145e-04
3.849999999999962e+00	2.920555e-04
3.859999999999962e+00	2.934980e-04
3.869999999999961e+00	2.949421e-04
3.879999999999961e+00	2.963877e-04
3.889999999999961e+00	2.978349e-04
3.899999999999961e+00	2.992837e-04
3.909999999999961e+00	3.007339e-04
3.919999999999960e+00	3.021857e-04
3.929999999999960e+00	3.036390e-04
3.939999999999960e+00	3.050938e-04
3.949999999999960e+00	3.065501e-04
3.959999999999960e+00	3.080079e-04
3.969999999999959e+00	3.094672e-04
3.979999999999959e+00	3.109279e-04
3.989999999999959e+00	3.123900e-04
3.999999999999959e+00	3.138536e-04
4.009999999999959e+00	3.153187e-04
4.019999999999959e+00	3.167851e-04
4.029999999999959e+00	3.182530e-04
4.039999999999958e+00	3.197222e-04
4.049999999999958e+00	3.211929e-04
4.059999999999958e+00	3.226649e-04
4.069999999999958e+00	3.241383e-04
4.079999999999957e+00	3.256131e-04
4.089999999999957e+00	3.270892e-04
4.099999999999957e+00	3.285667e-04
4.109999999999957e+00	3.300455e-04
4.119999999999957e+00	3.315256e-04
4.129999999999956e+00	3.330070e-04
4.139999999999956e+00	3.344898e-04
4.149999999999956e+00	3.359738e-04
4.159999999999956e+00	3.374592e-04
4.169999999999956e+00	3.389458e-04
4.179999999999955e+00	3.404336e-04
4.189999999999955e+00	3.419228e-04
4.199999999999955e+00	3.434132e-04
4.209999999999955e+00	3.449048e-04
4.219999999999954e+00	3.463977e-04
4.229999999999954e+00	3.478918e-04
4.239999999999954e+00	3.493871e-04
4.249999999999954e+00	3.508836e-04
4.259999999999954e+00	3.523813e-04
4.269999999999953e+00	3.538802e-04
4.279999999999953e+00	3.553803e-04
4.289999999999953e+00	3.568815e-04
4.299999999999953e+00	3.583839e-04
4.309999999999953e+00	3.598875e-04
4.319999999999952e+00	3.613922e-04
4.329999999999952e+00	3.628980e-04
4.339999999999952e+00	3.644050e-04
4.349999999999952e+00	3.659131e-04
4.359999999999951e+00	3.674224e-04
4.369999999999951e+00	3.689327e-04
4.379999999999951e+00	3.704441e-04
4.389999999999951e+00	3.719566e-04
4.399999999999951e+00	3.734702e-04
4.409999999999950e+00	3.749848e-04
4.419999999999950e+00	3.765005e-04
4.429999999999950e+00	3.780173e-04
4.439999999999950e+00	3.795351e-04
4.449999999999950e+00	3.810539e-04
4.459999999999949e+00	3.825738e-04
4.469999999999949e+00	3.840947e-04
4.479999999999949e+00	3.856166e-04
4.489999999999949e+00	3.871396e-04
4.499999999999948e+00	3.886635e-04
4.509999999999948e+00	3.901884e-04
4.519999999999948e+00	3.917143e-04
4.529999999999948e+00	3.932412e-04
4.539999999999948e+00	3.947690e-04
4.549999999999947e+00	3.962979e-04
4.559999999999947e+00	3.978276e-04
4.569999999999947e+00	3.993583e-04
4.579999999999947e+00	4.008900e-04
4.589999999999947e+00	4.024225e-04
4.599999999999946e+00	4.039560e-04
4.609999999999946e+00	4.054905e-04
4.619999999999946e+00	4.070258e-04
4.629999999999946e+00	4.085620e-04
4.639999999999946e+00	4.100991e-04
4.649999999999945e+00	4.116371e-04
4.659999999999945e+00	4.131760e-04
4.669999999999945e+00	4.147157e-04
4.679999999999945e+00	4.162563e-04
4.689999999999944e+00	4.177978e-04
4.699999999999944e+00	4.193402e-04
4.709999999999944e+00	4.208833e-04
4.719999999999944e+00	4.224273e-04
4.729999999999944e+00	4.239721e-04
4.739999999999943e+00	4.255178e-04
4.749999999999943e+00	4.270643e-04
4.759999999999943e+00	4.286115e-04
4.769999999999943e+00	4.301596e-04
4.779999999999943e+00	4.317085e-04
4.789999999999942e+00	4.332582e-04
4.799999999999942e+00	4.348086e-04
4.809999999999942e+00	4.363598e-04
4.819999999999942e+00	4.379118e-04
4.829999999999941e+00	4.394645e-04
4.839999999999941e+00	4.410180e-04
4.849999999999941e+00	4.425723e-04
4.859999999999941e+00	4.441272e-04
4.869999999999941e+00	4.456830e-04
4.879999999999940e+00	4.472394e-04
4.889999999999940e+00	4.487965e-04
4.899999999999940e+00	4.503544e-04
4.909999999999940e+00	4.519130e-04
4.919999999999940e+00	4.534723e-04
4.929999999999939e+00	4.550323e-04
4.939999999999939e+00	4.565930e-04
4.949999999999939e+00	4.581543e-04
4.959999999999939e+00	4.597164e-04
4.969999999999938e+00	4.612791e-04
4.979999999999938e+00	4.628424e-04
4.989999999999938e+00	4.644064e-04
5.000000000000000e+00	4.659711e-04
