vin	Ix(U1:DRAIN)
8.800000000000006e-01	2.874783e-04
8.900000000000006e-01	2.855933e-04
9.000000000000006e-01	2.837120e-04
9.100000000000006e-01	2.818344e-04
9.200000000000006e-01	2.799607e-04
9.300000000000006e-01	2.780908e-04
9.400000000000006e-01	2.762247e-04
9.500000000000006e-01	2.743624e-04
9.600000000000006e-01	2.725041e-04
9.700000000000006e-01	2.706496e-04
9.800000000000006e-01	2.687990e-04
9.900000000000007e-01	2.669524e-04
1.000000000000001e+00	2.651097e-04
1.010000000000001e+00	2.632710e-04
1.020000000000001e+00	2.614362e-04
1.030000000000001e+00	2.596056e-04
1.040000000000001e+00	2.577789e-04
1.050000000000001e+00	2.559563e-04
1.060000000000001e+00	2.541377e-04
1.070000000000001e+00	2.523233e-04
1.080000000000001e+00	2.505129e-04
1.090000000000001e+00	2.487067e-04
1.100000000000001e+00	2.469047e-04
1.110000000000001e+00	2.451068e-04
1.120000000000001e+00	2.433131e-04
1.130000000000001e+00	2.415237e-04
1.140000000000001e+00	2.397385e-04
1.150000000000001e+00	2.379576e-04
1.160000000000001e+00	2.361809e-04
1.170000000000001e+00	2.344086e-04
1.180000000000001e+00	2.326406e-04
1.190000000000001e+00	2.308770e-04
1.200000000000001e+00	2.291177e-04
1.210000000000001e+00	2.273628e-04
1.220000000000001e+00	2.256124e-04
1.230000000000001e+00	2.238664e-04
1.240000000000001e+00	2.221248e-04
1.250000000000001e+00	2.203878e-04
1.260000000000001e+00	2.186552e-04
1.270000000000001e+00	2.169272e-04
1.280000000000001e+00	2.152038e-04
1.290000000000001e+00	2.134849e-04
1.300000000000001e+00	2.117706e-04
1.310000000000001e+00	2.100610e-04
1.320000000000001e+00	2.083560e-04
1.330000000000001e+00	2.066556e-04
1.340000000000001e+00	2.049600e-04
1.350000000000001e+00	2.032691e-04
1.360000000000001e+00	2.015829e-04
1.370000000000001e+00	1.999015e-04
1.380000000000001e+00	1.982249e-04
1.390000000000001e+00	1.965531e-04
1.400000000000001e+00	1.948862e-04
1.410000000000001e+00	1.932241e-04
1.420000000000001e+00	1.915669e-04
1.430000000000001e+00	1.899146e-04
1.440000000000001e+00	1.882673e-04
1.450000000000001e+00	1.866249e-04
1.460000000000001e+00	1.849875e-04
1.470000000000001e+00	1.833552e-04
1.480000000000001e+00	1.817278e-04
1.490000000000001e+00	1.801055e-04
1.500000000000001e+00	1.784883e-04
1.510000000000001e+00	1.768763e-04
1.520000000000001e+00	1.752694e-04
1.530000000000001e+00	1.736676e-04
1.540000000000001e+00	1.720710e-04
1.550000000000001e+00	1.704797e-04
1.560000000000001e+00	1.688936e-04
1.570000000000001e+00	1.673127e-04
1.580000000000001e+00	1.657372e-04
1.590000000000001e+00	1.641670e-04
1.600000000000001e+00	1.626021e-04
1.610000000000001e+00	1.610427e-04
1.620000000000001e+00	1.594886e-04
1.630000000000001e+00	1.579399e-04
1.640000000000001e+00	1.563967e-04
1.650000000000001e+00	1.548590e-04
1.660000000000001e+00	1.533268e-04
1.670000000000001e+00	1.518002e-04
1.680000000000001e+00	1.502791e-04
1.690000000000001e+00	1.487636e-04
1.700000000000001e+00	1.472538e-04
1.710000000000001e+00	1.457496e-04
1.720000000000001e+00	1.442510e-04
1.730000000000001e+00	1.427582e-04
1.740000000000001e+00	1.412711e-04
1.750000000000001e+00	1.397898e-04
1.760000000000001e+00	1.383143e-04
1.770000000000001e+00	1.368446e-04
1.780000000000001e+00	1.353808e-04
1.790000000000001e+00	1.339228e-04
1.800000000000001e+00	1.324708e-04
1.810000000000001e+00	1.310247e-04
1.820000000000001e+00	1.295845e-04
1.830000000000001e+00	1.281504e-04
1.840000000000001e+00	1.267223e-04
1.850000000000001e+00	1.253002e-04
1.860000000000001e+00	1.238843e-04
1.870000000000001e+00	1.224744e-04
1.880000000000001e+00	1.210708e-04
1.890000000000001e+00	1.196733e-04
1.900000000000001e+00	1.182820e-04
1.910000000000001e+00	1.168969e-04
1.920000000000001e+00	1.155181e-04
1.930000000000001e+00	1.141457e-04
1.940000000000002e+00	1.127795e-04
1.950000000000002e+00	1.114198e-04
1.960000000000002e+00	1.100664e-04
1.970000000000002e+00	1.087195e-04
1.980000000000002e+00	1.073790e-04
1.990000000000002e+00	1.060450e-04
2.000000000000001e+00	1.047175e-04
2.010000000000001e+00	1.033967e-04
2.020000000000001e+00	1.020824e-04
2.030000000000001e+00	1.007747e-04
2.040000000000000e+00	9.947365e-05
2.050000000000000e+00	9.817932e-05
2.060000000000000e+00	9.689171e-05
2.070000000000000e+00	9.561086e-05
2.080000000000000e+00	9.433679e-05
2.089999999999999e+00	9.306955e-05
2.099999999999999e+00	9.180917e-05
2.109999999999999e+00	9.055567e-05
2.119999999999999e+00	8.930911e-05
2.129999999999999e+00	8.806949e-05
2.139999999999998e+00	8.683688e-05
2.149999999999998e+00	8.561129e-05
2.159999999999998e+00	8.439276e-05
2.169999999999998e+00	8.318132e-05
2.179999999999997e+00	8.197702e-05
2.189999999999997e+00	8.077989e-05
2.199999999999997e+00	7.958995e-05
2.209999999999997e+00	7.840725e-05
