vin	Ix(U1:DRAIN)
8.000000000000005e-01	9.345853e-09
8.100000000000005e-01	9.350023e-09
8.200000000000005e-01	9.354177e-09
8.300000000000005e-01	9.358314e-09
8.400000000000005e-01	9.362436e-09
8.500000000000005e-01	9.366541e-09
8.600000000000005e-01	9.370631e-09
8.700000000000006e-01	9.374706e-09
8.800000000000006e-01	9.378765e-09
8.900000000000006e-01	9.382810e-09
9.000000000000006e-01	9.386839e-09
9.100000000000006e-01	9.390854e-09
9.200000000000006e-01	9.394854e-09
9.300000000000006e-01	9.398840e-09
9.400000000000006e-01	9.402812e-09
9.500000000000006e-01	9.406770e-09
9.600000000000006e-01	9.410713e-09
9.700000000000006e-01	9.414643e-09
9.800000000000006e-01	9.418560e-09
9.900000000000007e-01	9.422463e-09
1.000000000000001e+00	9.426353e-09
1.010000000000001e+00	9.430230e-09
1.020000000000001e+00	9.434094e-09
1.030000000000001e+00	9.437945e-09
1.040000000000001e+00	9.441783e-09
1.050000000000001e+00	9.445609e-09
1.060000000000001e+00	9.449423e-09
1.070000000000001e+00	9.453224e-09
1.080000000000001e+00	9.457013e-09
1.090000000000001e+00	9.460790e-09
1.100000000000001e+00	9.464555e-09
1.110000000000001e+00	9.468309e-09
1.120000000000001e+00	9.472051e-09
1.130000000000001e+00	9.475781e-09
1.140000000000001e+00	9.479501e-09
1.150000000000001e+00	9.483208e-09
1.160000000000001e+00	9.486905e-09
1.170000000000001e+00	9.490591e-09
1.180000000000001e+00	9.494265e-09
1.190000000000001e+00	9.497929e-09
1.200000000000001e+00	9.501582e-09
1.210000000000001e+00	9.505224e-09
1.220000000000001e+00	9.508856e-09
1.230000000000001e+00	9.512477e-09
1.240000000000001e+00	9.516088e-09
1.250000000000001e+00	9.519690e-09
1.260000000000001e+00	9.523280e-09
1.270000000000001e+00	9.526861e-09
1.280000000000001e+00	9.530432e-09
1.290000000000001e+00	9.533993e-09
1.300000000000001e+00	9.537544e-09
1.310000000000001e+00	9.541086e-09
1.320000000000001e+00	9.544618e-09
1.330000000000001e+00	9.548140e-09
1.340000000000001e+00	9.551654e-09
1.350000000000001e+00	9.555157e-09
1.360000000000001e+00	9.558652e-09
1.370000000000001e+00	9.562137e-09
1.380000000000001e+00	9.565613e-09
1.390000000000001e+00	9.569081e-09
1.400000000000001e+00	9.572539e-09
1.410000000000001e+00	9.575989e-09
1.420000000000001e+00	9.579430e-09
1.430000000000001e+00	9.582862e-09
1.440000000000001e+00	9.586285e-09
1.450000000000001e+00	9.589700e-09
1.460000000000001e+00	9.593106e-09
1.470000000000001e+00	9.596504e-09
1.480000000000001e+00	9.599894e-09
1.490000000000001e+00	9.603276e-09
1.500000000000001e+00	9.606649e-09
1.510000000000001e+00	9.610014e-09
1.520000000000001e+00	9.613371e-09
1.530000000000001e+00	9.616721e-09
1.540000000000001e+00	9.620061e-09
1.550000000000001e+00	9.623395e-09
1.560000000000001e+00	9.626721e-09
1.570000000000001e+00	9.630038e-09
1.580000000000001e+00	9.633348e-09
1.590000000000001e+00	9.636651e-09
1.600000000000001e+00	9.639946e-09
1.610000000000001e+00	9.643234e-09
1.620000000000001e+00	9.646514e-09
1.630000000000001e+00	9.649787e-09
1.640000000000001e+00	9.653052e-09
1.650000000000001e+00	9.656310e-09
1.660000000000001e+00	9.659561e-09
