Freq.	V(vout)
1.90546071796325e+000	(-7.75458076679317e-002dB,-2.36778887326405e-004°)
1.94984459975804e+000	(-7.75458076715337e-002dB,-2.42294176121076e-004°)
1.99526231496888e+000	(-7.75458076753039e-002dB,-2.47937932495063e-004°)
2.04173794466953e+000	(-7.75458076792513e-002dB,-2.53713148842698e-004°)
2.08929613085404e+000	(-7.75458076833845e-002dB,-2.59622887260133e-004°)
2.13796208950223e+000	(-7.75458076877133e-002dB,-2.65670281168900e-004°)
2.18776162394955e+000	(-7.75458076922464e-002dB,-2.71858536977296e-004°)
2.23872113856834e+000	(-7.75458076969906e-002dB,-2.78190935780463e-004°)
2.29086765276777e+000	(-7.75458077019615e-002dB,-2.84670835100062e-004°)
2.34422881531992e+000	(-7.75458077071640e-002dB,-2.91301670664484e-004°)
2.39883291901949e+000	(-7.75458077126146e-002dB,-2.98086958230516e-004°)
2.45470891568503e+000	(-7.75458077183221e-002dB,-3.05030295447437e-004°)
2.51188643150958e+000	(-7.75458077242971e-002dB,-3.12135363764544e-004°)
2.57039578276886e+000	(-7.75458077305553e-002dB,-3.19405930383105e-004°)
2.63026799189538e+000	(-7.75458077371064e-002dB,-3.26845850253778e-004°)
2.69153480392691e+000	(-7.75458077439658e-002dB,-3.34459068120557e-004°)
2.75422870333816e+000	(-7.75458077511513e-002dB,-3.42249620612325e-004°)
2.81838293126445e+000	(-7.75458077586733e-002dB,-3.50221638383132e-004°)
2.88403150312660e+000	(-7.75458077665496e-002dB,-3.58379348302322e-004°)
2.95120922666638e+000	(-7.75458077747975e-002dB,-3.66727075695674e-004°)
3.01995172040201e+000	(-7.75458077834336e-002dB,-3.75269246638743e-004°)
3.09029543251359e+000	(-7.75458077924784e-002dB,-3.84010390303631e-004°)
3.16227766016837e+000	(-7.75458078019464e-002dB,-3.92955141360412e-004°)
3.23593656929628e+000	(-7.75458078118659e-002dB,-4.02108242434490e-004°)
3.31131121482591e+000	(-7.75458078222505e-002dB,-4.11474546621210e-004°)
3.38844156139202e+000	(-7.75458078331225e-002dB,-4.21059020059026e-004°)
3.46736850452531e+000	(-7.75458078445082e-002dB,-4.30866744562619e-004°)
3.54813389233575e+000	(-7.75458078564321e-002dB,-4.40902920317338e-004°)
3.63078054770101e+000	(-7.75458078689134e-002dB,-4.51172868636411e-004°)
3.71535229097172e+000	(-7.75458078819892e-002dB,-4.61682034782372e-004°)
3.80189396320560e+000	(-7.75458078956760e-002dB,-4.72435990854214e-004°)
3.89045144994280e+000	(-7.75458079100109e-002dB,-4.83440438741789e-004°)
3.98107170553496e+000	(-7.75458079250190e-002dB,-4.94701213149025e-004°)
4.07380277804112e+000	(-7.75458079407336e-002dB,-5.06224284687562e-004°)
4.16869383470335e+000	(-7.75458079571934e-002dB,-5.18015763042452e-004°)
4.26579518801592e+000	(-7.75458079744248e-002dB,-5.30081900211594e-004°)
4.36515832240165e+000	(-7.75458079924725e-002dB,-5.42429093820624e-004°)
4.46683592150962e+000	(-7.75458080113667e-002dB,-5.55063890515023e-004°)
4.57088189614874e+000	(-7.75458080311512e-002dB,-5.67992989431235e-004°)
4.67735141287197e+000	(-7.75458080518707e-002dB,-5.81223245748636e-004°)
4.78630092322637e+000	(-7.75458080735641e-002dB,-5.94761674324244e-004°)
4.89778819368445e+000	(-7.75458080962821e-002dB,-6.08615453412085e-004°)
5.01187233627271e+000	(-7.75458081200714e-002dB,-6.22791928469200e-004°)
