Freq.	V(vout)
3.31131121482590e+001	(-7.75458247013525e-002dB,-3.62491597952765e-003°)
3.38844156139201e+001	(-7.75458255077272e-002dB,-3.70935111922944e-003°)
3.46736850452530e+001	(-7.75458263521092e-002dB,-3.79575300597224e-003°)
3.54813389233574e+001	(-7.75458272362850e-002dB,-3.88416745117853e-003°)
3.63078054770100e+001	(-7.75458281621284e-002dB,-3.97464133335581e-003°)
3.71535229097171e+001	(-7.75458291316049e-002dB,-4.06722262295223e-003°)
3.80189396320559e+001	(-7.75458301467753e-002dB,-4.16196040779109e-003°)
3.89045144994279e+001	(-7.75458312097888e-002dB,-4.25890491909789e-003°)
3.98107170553495e+001	(-7.75458323228988e-002dB,-4.35810755813356e-003°)
4.07380277804111e+001	(-7.75458334884659e-002dB,-4.45962092344812e-003°)
4.16869383470333e+001	(-7.75458347089681e-002dB,-4.56349883876903e-003°)
4.26579518801591e+001	(-7.75458359869858e-002dB,-4.66979638153932e-003°)
4.36515832240164e+001	(-7.75458373252404e-002dB,-4.77856991212033e-003°)
4.46683592150961e+001	(-7.75458387265642e-002dB,-4.88987710367470e-003°)
4.57088189614873e+001	(-7.75458401939287e-002dB,-5.00377697274541e-003°)
4.67735141287196e+001	(-7.75458417304504e-002dB,-5.12032991054719e-003°)
4.78630092322636e+001	(-7.75458433393828e-002dB,-5.23959771498665e-003°)
4.89778819368444e+001	(-7.75458450241421e-002dB,-5.36164362342836e-003°)
5.01187233627270e+001	(-7.75458467883011e-002dB,-5.48653234622411e-003°)
5.12861383991362e+001	(-7.75458486356047e-002dB,-5.61433010102319e-003°)
5.24807460249770e+001	(-7.75458505699682e-002dB,-5.74510464788183e-003°)
5.37031796370250e+001	(-7.75458525954976e-002dB,-5.87892532519045e-003°)
5.49540873857622e+001	(-7.75458547164865e-002dB,-6.01586308643780e-003°)
5.62341325190346e+001	(-7.75458569374331e-002dB,-6.15599053783133e-003°)
5.75439937337154e+001	(-7.75458592630514e-002dB,-6.29938197679407e-003°)
5.88843655355586e+001	(-7.75458616982675e-002dB,-6.44611343135790e-003°)
6.02559586074355e+001	(-7.75458642482578e-002dB,-6.59626270047476e-003°)
6.16595001861479e+001	(-7.75458669184213e-002dB,-6.74990939526654e-003°)
6.30957344480190e+001	(-7.75458697144264e-002dB,-6.90713498123592e-003°)
6.45654229034652e+001	(-7.75458726422046e-002dB,-7.06802282146046e-003°)
6.60693448007593e+001	(-7.75458757079671e-002dB,-7.23265822079275e-003°)
6.76082975391978e+001	(-7.75458789182068e-002dB,-7.40112847109007e-003°)
6.91830970918933e+001	(-7.75458822797481e-002dB,-7.57352289749775e-003°)
7.07945784384134e+001	(-7.75458857997130e-002dB,-7.74993290581035e-003°)
7.24435960074986e+001	(-7.75458894855645e-002dB,-7.93045203093629e-003°)
7.41310241300914e+001	(-7.75458933451261e-002dB,-8.11517598649114e-003°)
7.58577575029180e+001	(-7.75458973865873e-002dB,-8.30420271554627e-003°)
7.76247116628688e+001	(-7.75459016185124e-002dB,-8.49763244255939e-003°)
7.94328234724277e+001	(-7.75459060498848e-002dB,-8.69556772651487e-003°)
8.12830516164095e+001	(-7.75459106900986e-002dB,-8.89811351530180e-003°)
8.31763771102667e+001	(-7.75459155490032e-002dB,-9.10537720135862e-003°)
8.51138038202372e+001	(-7.75459206368965e-002dB,-9.31746867861393e-003°)
8.70963589956076e+001	(-7.75459259645728e-002dB,-9.53450040075364e-003°)
8.91250938133741e+001	(-7.75459315433419e-002dB,-9.75658744084523e-003°)
9.12010839355905e+001	(-7.75459373850256e-002dB,-9.98384755235095e-003°)
9.33254300796986e+001	(-7.75459435020213e-002dB,-1.02164012315621e-002°)
9.54992586021431e+001	(-7.75459499072990e-002dB,-1.04543717814877e-002°)
9.77237220955805e+001	(-7.75459566144500e-002dB,-1.06978853772312e-002°)
9.99999999999995e+001	(-7.75459636377013e-002dB,-1.09470711328899e-002°)
1.02329299228075e+002	(-7.75459709919490e-002dB,-1.12020611700129e-002°)
1.04712854805089e+002	(-7.75459786927872e-002dB,-1.14629906876538e-002°)
1.07151930523760e+002	(-7.75459867565558e-002dB,-1.17299980340542e-002°)
1.09647819614318e+002	(-7.75459952003608e-002dB,-1.20032247799981e-002°)
1.12201845430196e+002	(-7.75460040421079e-002dB,-1.22828157938744e-002°)
1.14815362149688e+002	(-7.75460133005561e-002dB,-1.25689193184873e-002°)
1.17489755493952e+002	(-7.75460229953379e-002dB,-1.28616870496569e-002°)
1.20226443461741e+002	(-7.75460331470232e-002dB,-1.31612742166496e-002°)
1.23026877081237e+002	(-7.75460437771428e-002dB,-1.34678396644831e-002°)
1.25892541179416e+002	(-7.75460549082425e-002dB,-1.37815459381469e-002°)
1.28824955169313e+002	(-7.75460665639366e-002dB,-1.41025593687863e-002°)
1.31825673855640e+002	(-7.75460787689443e-002dB,-1.44310501618926e-002°)
1.34896288259165e+002	(-7.75460915491566e-002dB,-1.47671924875479e-002°)
1.38038426460288e+002	(-7.75461049316854e-002dB,-1.51111645727723e-002°)
1.41253754462275e+002	(-7.75461189449125e-002dB,-1.54631487960215e-002°)
1.44543977074592e+002	(-7.75461336185573e-002dB,-1.58233317838858e-002°)
1.47910838816820e+002	(-7.75461489837560e-002dB,-1.61919045100419e-002°)
1.51356124843620e+002	(-7.75461650730897e-002dB,-1.65690623965085e-002°)
1.54881661891247e+002	(-7.75461819206914e-002dB,-1.69550054172616e-002°)
1.58489319246110e+002	(-7.75461995622955e-002dB,-1.73499382042626e-002°)
1.62181009735892e+002	(-7.75462180353236e-002dB,-1.77540701559559e-002°)
