time	V(v1)	V(vout)
1.197167862861869e-007	2.955243e+000	2.665807e+000
1.207596434290441e-007	2.934439e+000	2.667342e+000
1.218025005719013e-007	2.913406e+000	2.668869e+000
1.228453577147584e-007	2.892144e+000	2.670389e+000
1.238882148576156e-007	2.870653e+000	2.671901e+000
1.249310720004728e-007	2.848933e+000	2.673407e+000
1.255310720004729e-007	2.836361e+000	2.674268e+000
1.261310720004729e-007	2.823734e+000	2.675126e+000
1.267310720004730e-007	2.811053e+000	2.675980e+000
1.273310720004730e-007	2.798318e+000	2.676829e+000
1.279310720004731e-007	2.785528e+000	2.677675e+000
1.285310720004731e-007	2.772684e+000	2.678518e+000
1.291310720004731e-007	2.759785e+000	2.679356e+000
1.295453577147589e-007	2.750853e+000	2.679932e+000
1.299596434290446e-007	2.741902e+000	2.680505e+000
1.303739291433304e-007	2.732931e+000	2.681076e+000
1.307882148576161e-007	2.723941e+000	2.681644e+000
1.312025005719019e-007	2.714931e+000	2.682209e+000
1.316167862861876e-007	2.705902e+000	2.682771e+000
1.320310720004734e-007	2.696854e+000	2.683331e+000
1.323167862861877e-007	2.690604e+000	2.683715e+000
1.326025005719020e-007	2.684347e+000	2.684097e+000
1.328882148576163e-007	2.678084e+000	2.684477e+000
1.331739291433306e-007	2.671813e+000	2.684856e+000
1.334596434290449e-007	2.665535e+000	2.685232e+000
1.337453577147592e-007	2.659250e+000	2.685606e+000
1.340310720004735e-007	2.652958e+000	2.685979e+000
1.342739291433307e-007	2.647605e+000	2.686294e+000
1.345167862861878e-007	2.642248e+000	2.686606e+000
1.347596434290450e-007	2.636887e+000	2.686916e+000
1.350025005719022e-007	2.631522e+000	2.687224e+000
1.352453577147593e-007	2.626153e+000	2.687530e+000
1.354882148576165e-007	2.620780e+000	2.687833e+000
1.357310720004736e-007	2.615404e+000	2.688134e+000
1.359453577147594e-007	2.610657e+000	2.688397e+000
1.361596434290451e-007	2.605908e+000	2.688658e+000
1.363739291433308e-007	2.601156e+000	2.688915e+000
1.365882148576166e-007	2.596403e+000	2.689169e+000
1.368025005719023e-007	2.591647e+000	2.689420e+000
1.370167862861880e-007	2.586889e+000	2.689669e+000
1.372310720004738e-007	2.582129e+000	2.689914e+000
1.376739291433309e-007	2.572283e+000	2.690413e+000
1.381167862861881e-007	2.562432e+000	2.690892e+000
1.385596434290453e-007	2.552577e+000	2.691350e+000
1.390025005719025e-007	2.542718e+000	2.691789e+000
1.394453577147596e-007	2.532853e+000	2.692209e+000
1.398882148576168e-007	2.522984e+000	2.692608e+000
1.403310720004740e-007	2.513111e+000	2.692987e+000
1.409167862861883e-007	2.500048e+000	2.693453e+000
1.415025005719027e-007	2.486991e+000	2.693867e+000
1.420882148576170e-007	2.473939e+000	2.694228e+000
1.426739291433313e-007	2.460893e+000	2.694537e+000
1.432596434290456e-007	2.447852e+000	2.694793e+000
1.438453577147600e-007	2.434817e+000	2.694997e+000
1.444310720004743e-007	2.421787e+000	2.695148e+000
1.446025005719029e-007	2.417978e+000	2.695180e+000
1.447739291433315e-007	2.414170e+000	2.695206e+000
1.449453577147601e-007	2.410363e+000	2.695226e+000
1.451167862861886e-007	2.406557e+000	2.695242e+000
1.452882148576172e-007	2.402753e+000	2.695252e+000
1.454596434290458e-007	2.398950e+000	2.695256e+000
1.456310720004744e-007	2.395148e+000	2.695256e+000
1.459453577147601e-007	2.388182e+000	2.695241e+000
1.462596434290458e-007	2.381222e+000	2.695207e+000
1.465739291433316e-007	2.374269e+000	2.695154e+000
1.468882148576173e-007	2.367322e+000	2.695082e+000
1.472025005719031e-007	2.360381e+000	2.694992e+000
1.475167862861888e-007	2.353446e+000	2.694883e+000
1.478310720004745e-007	2.346518e+000	2.694755e+000
1.482596434290460e-007	2.337082e+000	2.694549e+000
1.486882148576175e-007	2.327663e+000	2.694308e+000
1.491167862861889e-007	2.318261e+000	2.694031e+000
1.495453577147604e-007	2.308876e+000	2.693720e+000
1.499739291433318e-007	2.299508e+000	2.693373e+000
1.504025005719033e-007	2.290157e+000	2.692991e+000
1.508310720004748e-007	2.280823e+000	2.692574e+000
1.510310720004748e-007	2.276474e+000	2.692368e+000
1.511310720004748e-007	2.274302e+000	2.692262e+000
1.512310720004748e-007	2.272131e+000	2.692154e+000
1.513310720004748e-007	2.269960e+000	2.692045e+000
1.514310720004748e-007	2.267792e+000	2.691933e+000
1.515310720004748e-007	2.265624e+000	2.691820e+000
1.516310720004748e-007	2.263457e+000	2.691705e+000
1.517310720004748e-007	2.261292e+000	2.691588e+000
