Freq.	V(vout)
5.62341325190348e+000	(-6.80440525643549e-004dB,-6.08081773730381e-005°)
5.75439937337156e+000	(-6.80440525311795e-004dB,-6.22245817791796e-005°)
5.88843655355588e+000	(-6.80440524963645e-004dB,-6.36739784822188e-005°)
6.02559586074356e+000	(-6.80440524593314e-004dB,-6.51571359714721e-005°)
6.16595001861481e+000	(-6.80440524214304e-004dB,-6.66748406366728e-005°)
6.30957344480192e+000	(-6.80440523814077e-004dB,-6.82278971849228e-005°)
6.45654229034654e+000	(-6.80440523395526e-004dB,-6.98171290673618e-005°)
6.60693448007594e+000	(-6.80440522952865e-004dB,-7.14433789157687e-005°)
6.76082975391980e+000	(-6.80440522492845e-004dB,-7.31075089893399e-005°)
6.91830970918935e+000	(-6.80440522012572e-004dB,-7.48104016318669e-005°)
7.07945784384136e+000	(-6.80440521508189e-004dB,-7.65529597395694e-005°)
7.24435960074988e+000	(-6.80440520979696e-004dB,-7.83361072398213e-005°)
7.41310241300916e+000	(-6.80440520428058e-004dB,-8.01607895810299e-005°)
7.58577575029182e+000	(-6.80440519848452e-004dB,-8.20279742339247e-005°)
7.76247116628690e+000	(-6.80440519242807e-004dB,-8.39386512045235e-005°)
7.94328234724279e+000	(-6.80440518604372e-004dB,-8.58938335590467e-005°)
8.12830516164097e+000	(-6.80440517941827e-004dB,-8.78945579610584e-005°)
8.31763771102669e+000	(-6.80440517246492e-004dB,-8.99418852211192e-005°)
8.51138038202374e+000	(-6.80440516519332e-004dB,-9.20369008592416e-005°)
8.70963589956078e+000	(-6.80440515754561e-004dB,-9.41807156804471e-005°)
8.91250938133743e+000	(-6.80440514954106e-004dB,-9.63744663637303e-005°)
9.12010839355907e+000	(-6.80440514118933e-004dB,-9.86193160647411e-005°)
9.33254300796988e+000	(-6.80440513243255e-004dB,-1.00916455032504e-004°)
9.54992586021433e+000	(-6.80440512324179e-004dB,-1.03267101240507e-004°)
9.77237220955808e+000	(-6.80440511363634e-004dB,-1.05672501032483e-004°)
9.99999999999997e+000	(-6.80440510356797e-004dB,-1.08133929783239e-004°)
1.02329299228075e+001	(-6.80440509301740e-004dB,-1.10652692574881e-004°)
1.04712854805090e+001	(-6.80440508199428e-004dB,-1.13230124888780e-004°)
1.07151930523760e+001	(-6.80440507046966e-004dB,-1.15867593313664e-004°)
1.09647819614318e+001	(-6.80440505835676e-004dB,-1.18566496270202e-004°)
1.12201845430196e+001	(-6.80440504568450e-004dB,-1.21328264752465e-004°)
1.14815362149688e+001	(-6.80440503241432e-004dB,-1.24154363086659e-004°)
1.17489755493953e+001	(-6.80440501854620e-004dB,-1.27046289707528e-004°)
1.20226443461741e+001	(-6.80440500401265e-004dB,-1.30005577952843e-004°)
1.23026877081238e+001	(-6.80440498879437e-004dB,-1.33033796876403e-004°)
1.25892541179416e+001	(-6.80440497280457e-004dB,-1.36132552079963e-004°)
1.28824955169313e+001	(-6.80440495613968e-004dB,-1.39303486564548e-004°)
1.31825673855640e+001	(-6.80440493864541e-004dB,-1.42548281601593e-004°)
1.34896288259165e+001	(-6.80440492033140e-004dB,-1.45868657624375e-004°)
1.38038426460288e+001	(-6.80440490117835e-004dB,-1.49266375140211e-004°)
1.41253754462275e+001	(-6.80440488107055e-004dB,-1.52743235663900e-004°)
1.44543977074592e+001	(-6.80440486005621e-004dB,-1.56301082672913e-004°)
1.47910838816820e+001	(-6.80440483801960e-004dB,-1.59941802584824e-004°)
1.51356124843620e+001	(-6.80440481500895e-004dB,-1.63667325757522e-004°)
1.54881661891248e+001	(-6.80440479084101e-004dB,-1.67479627512703e-004°)
1.58489319246111e+001	(-6.80440476563151e-004dB,-1.71380729183219e-004°)
1.62181009735892e+001	(-6.80440473915865e-004dB,-1.75372699184809e-004°)
1.65958690743755e+001	(-6.80440471144171e-004dB,-1.79457654112806e-004°)
