Freq.	V,vout
1.31825673855640e+001	,-6.80440584096016e-004,-1.91963807067182e-004
1.34896288259165e+001	,-6.80440586517632e-004,-1.96435218542672e-004
1.38038426460288e+001	,-6.80440589052083e-004,-2.01010782571094e-004
1.41253754462275e+001	,-6.80440591707085e-004,-2.05692925177056e-004
1.44543977074592e+001	,-6.80440594489387e-004,-2.10484128894538e-004
1.47910838816820e+001	,-6.80440597401884e-004,-2.15386934083164e-004
1.51356124843620e+001	,-6.80440600447469e-004,-2.20403940275135e-004
1.54881661891248e+001	,-6.80440603641572e-004,-2.25537807553538e-004
1.58489319246111e+001	,-6.80440606985157e-004,-2.30791257962750e-004
1.62181009735892e+001	,-6.80440610483047e-004,-2.36167076951707e-004
1.65958690743755e+001	,-6.80440614146814e-004,-2.41668114850790e-004
1.69824365246174e+001	,-6.80440617988996e-004,-2.47297288383098e-004
1.73780082874937e+001	,-6.80440622006699e-004,-2.53057582210940e-004
1.77827941003892e+001	,-6.80440626213424e-004,-2.58952050518339e-004
1.81970085860998e+001	,-6.80440630618817e-004,-2.64983818630405e-004
1.86208713666286e+001	,-6.80440635233486e-004,-2.71156084670421e-004
1.90546071796324e+001	,-6.80440640068038e-004,-2.77472121255529e-004
1.94984459975804e+001	,-6.80440645126332e-004,-2.83935277231914e-004
1.99526231496887e+001	,-6.80440650427655e-004,-2.90548979450414e-004
2.04173794466952e+001	,-6.80440655975866e-004,-2.97316734583473e-004
2.08929613085403e+001	,-6.80440661782536e-004,-3.04242130984428e-004
2.13796208950222e+001	,-6.80440667865991e-004,-3.11328840590102e-004
2.18776162394954e+001	,-6.80440674235872e-004,-3.18580620867716e-004
2.23872113856833e+001	,-6.80440680904719e-004,-3.26001316807140e-004
2.29086765276776e+001	,-6.80440687888926e-004,-3.33594862959568e-004
2.34422881531991e+001	,-6.80440695202958e-004,-3.41365285523660e-004
2.39883291901948e+001	,-6.80440702859354e-004,-3.49316704480287e-004
2.45470891568502e+001	,-6.80440710879329e-004,-3.57453335777009e-004
2.51188643150957e+001	,-6.80440719276386e-004,-3.65779493563409e-004
2.57039578276885e+001	,-6.80440728067884e-004,-3.74299592478530e-004
2.63026799189537e+001	,-6.80440737274075e-004,-3.83018149991559e-004
2.69153480392690e+001	,-6.80440746917141e-004,-3.91939788797065e-004
2.75422870333815e+001	,-6.80440757010583e-004,-4.01069239265992e-004
2.81838293126444e+001	,-6.80440767581405e-004,-4.10411341953788e-004
2.88403150312659e+001	,-6.80440778653716e-004,-4.19971050166916e-004
2.95120922666637e+001	,-6.80440790241018e-004,-4.29753432589162e-004
3.01995172040200e+001	,-6.80440802378994e-004,-4.39763675969124e-004
3.09029543251358e+001	,-6.80440815085004e-004,-4.50007087870294e-004
3.16227766016837e+001	,-6.80440828394730e-004,-4.60489099485199e-004
3.23593656929627e+001	,-6.80440842329389e-004,-4.71215268515080e-004
3.31131121482590e+001	,-6.80440856921771e-004,-4.82191282116677e-004
3.38844156139201e+001	,-6.80440872200808e-004,-4.93422959917617e-004
3.46736850452530e+001	,-6.80440888204112e-004,-5.04916257102071e-004
3.54813389233574e+001	,-6.80440904955792e-004,-5.16677267568259e-004
3.63078054770100e+001	,-6.80440922497318e-004,-5.28712227159528e-004
3.71535229097171e+001	,-6.80440940866303e-004,-5.41027516970664e-004
3.80189396320559e+001	,-6.80440960103249e-004,-5.53629666731248e-004
3.89045144994279e+001	,-6.80440980246735e-004,-5.66525358267788e-004
3.98107170553495e+001	,-6.80441001335336e-004,-5.79721429046525e-004
4.07380277804111e+001	,-6.80441023422094e-004,-5.93224875798743e-004
4.16869383470333e+001	,-6.80441046550407e-004,-6.07042858230527e-004
4.26579518801591e+001	,-6.80441070768495e-004,-6.21182702818932e-004
4.36515832240164e+001	,-6.80441096123615e-004,-6.35651906696578e-004
4.46683592150961e+001	,-6.80441122674594e-004,-6.50458141626737e-004
4.57088189614873e+001	,-6.80441150479297e-004,-6.65609258070987e-004
4.67735141287196e+001	,-6.80441179591731e-004,-6.81113289351642e-004
4.78630092322636e+001	,-6.80441210079404e-004,-6.96978455911123e-004
4.89778819368444e+001	,-6.80441242006930e-004,-7.13213169670540e-004
5.01187233627270e+001	,-6.80441275430245e-004,-7.29826038489805e-004
5.12861383991362e+001	,-6.80441310436146e-004,-7.46825870731632e-004
5.24807460249770e+001	,-6.80441347093104e-004,-7.64221679931856e-004
5.37031796370250e+001	,-6.80441385473451e-004,-7.82022689578507e-004
5.49540873857622e+001	,-6.80441425662053e-004,-8.00238338002244e-004
5.62341325190346e+001	,-6.80441467747636e-004,-8.18878283380673e-004
5.75439937337154e+001	,-6.80441511809281e-004,-8.37952408859235e-004
5.88843655355586e+001	,-6.80441557953072e-004,-8.57470827791394e-004
6.02559586074355e+001	,-6.80441606271592e-004,-8.77443889100847e-004
6.16595001861479e+001	,-6.80441656869961e-004,-8.97882182768682e-004
6.30957344480190e+001	,-6.80441709847512e-004,-9.18796545448303e-004
6.45654229034652e+001	,-6.80441765321902e-004,-9.40198066211184e-004
6.60693448007593e+001	,-6.80441823415610e-004,-9.62098092426425e-004
6.76082975391978e+001	,-6.80441884244366e-004,-9.84508235777282e-004
6.91830970918933e+001	,-6.80441947943185e-004,-1.00744037841783e-003
7.07945784384134e+001	,-6.80442014638404e-004,-1.03090667927304e-003
7.24435960074986e+001	,-6.80442084478542e-004,-1.05491958048558e-003
7.41310241300914e+001	,-6.80442157612115e-004,-1.07949181401285e-003
7.58577575029180e+001	,-6.80442234192466e-004,-1.10463640837756e-003
7.76247116628688e+001	,-6.80442314377754e-004,-1.13036669557569e-003
7.94328234724277e+001	,-6.80442398347360e-004,-1.15669631814523e-003
8.12830516164095e+001	,-6.80442486269090e-004,-1.18363923639967e-003
8.31763771102667e+001	,-6.80442578339681e-004,-1.21120973582993e-003
8.51138038202372e+001	,-6.80442674746228e-004,-1.23942243467869e-003
8.70963589956076e+001	,-6.80442775696078e-004,-1.26829229169120e-003
8.91250938133741e+001	,-6.80442881407186e-004,-1.29783461404660e-003
9.12010839355905e+001	,-6.80442992098471e-004,-1.32806506547393e-003
9.33254300796986e+001	,-6.80443108003318e-004,-1.35899967455731e-003
9.54992586021431e+001	,-6.80443229374402e-004,-1.39065484323446e-003
9.77237220955805e+001	,-6.80443356463431e-004,-1.42304735549325e-003
9.99999999999995e+001	,-6.80443489541403e-004,-1.45619438627074e-003
1.02329299228075e+002	,-6.80443628893781e-004,-1.49011351055957e-003
1.04712854805089e+002	,-6.80443774813743e-004,-1.52482271272648e-003
1.07151930523760e+002	,-6.80443927607970e-004,-1.56034039604779e-003
1.09647819614318e+002	,-6.80444087605323e-004,-1.59668539246708e-003
1.12201845430196e+002	,-6.80444255141415e-004,-1.63387697258015e-003
1.14815362149688e+002	,-6.80444430573074e-004,-1.67193485585250e-003
1.17489755493952e+002	,-6.80444614274489e-004,-1.71087922107482e-003
1.20226443461741e+002	,-6.80444806632385e-004,-1.75073071706211e-003
1.23026877081237e+002	,-6.80445008055670e-004,-1.79151047360187e-003
1.25892541179416e+002	,-6.80445218974467e-004,-1.83324011265740e-003
1.28824955169313e+002	,-6.80445439829508e-004,-1.87594175983207e-003
1.31825673855640e+002	,-6.80445671095279e-004,-1.91963805610055e-003
1.34896288259165e+002	,-6.80445913261698e-004,-1.96435216981333e-003
1.38038426460288e+002	,-6.80446166838934e-004,-2.01010780898089e-003
1.41253754462275e+002	,-6.80446432367051e-004,-2.05692923384398e-003
1.44543977074592e+002	,-6.80446710405405e-004,-2.10484126973670e-003
1.47910838816820e+002	,-6.80447001556746e-004,-2.15386932024917e-003
1.51356124843620e+002	,-6.80447306420933e-004,-2.20403938069685e-003
1.54881661891247e+002	,-6.80447625654726e-004,-2.25537805190354e-003
1.58489319246110e+002	,-6.80447959934170e-004,-2.30791255430553e-003
1.62181009735892e+002	,-6.80448309968102e-004,-2.36167074238410e-003
1.65958690743755e+002	,-6.80448676502005e-004,-2.41668111943439e-003
1.69824365246173e+002	,-6.80449060305472e-004,-2.47297285267815e-003
1.73780082874936e+002	,-6.80449462201141e-004,-2.53057578872854e-003
1.77827941003891e+002	,-6.80449883034791e-004,-2.58952046941516e-003
1.81970085860997e+002	,-6.80450323695603e-004,-2.64983814797770e-003
1.86208713666286e+002	,-6.80450785133513e-004,-2.71156080563679e-003
1.90546071796323e+002	,-6.80451268314854e-004,-2.77472116855075e-003
1.94984459975803e+002	,-6.80451774269608e-004,-2.83935272516745e-003
1.99526231496887e+002	,-6.80452304068262e-004,-2.90548974398019e-003
2.04173794466952e+002	,-6.80452858832416e-004,-2.97316729169733e-003
2.08929613085403e+002	,-6.80453439747323e-004,-3.04242125183501e-003
2.13796208950222e+002	,-6.80454048034881e-004,-3.11328834374297e-003
2.18776162394954e+002	,-6.80454684989318e-004,-3.18580614207360e-003
2.23872113856832e+002	,-6.80455351964657e-004,-3.26001309670441e-003
2.29086765276776e+002	,-6.80456050381463e-004,-3.33594855312459e-003
2.34422881531991e+002	,-6.80456781702736e-004,-3.41365277329634e-003
2.39883291901947e+002	,-6.80457547494665e-004,-3.49316695700231e-003
2.45470891568501e+002	,-6.80458349374556e-004,-3.57453326369010e-003
2.51188643150956e+002	,-6.80459189044579e-004,-3.65779483482557e-003
2.57039578276885e+002	,-6.80460068292737e-004,-3.74299581676702e-003
2.63026799189536e+002	,-6.80460988975506e-004,-3.83018138417193e-003
2.69153480392690e+002	,-6.80461953048697e-004,-3.91939776394906e-003
2.75422870333815e+002	,-6.80462962557806e-004,-4.01069225976842e-003
2.81838293126443e+002	,-6.80464019643810e-004,-4.10411327714209e-003
2.88403150312659e+002	,-6.80465126547980e-004,-4.19971034908931e-003
2.95120922666637e+002	,-6.80466285619603e-004,-4.29753416239937e-003
3.01995172040200e+002	,-6.80467499312120e-004,-4.39763658450614e-003
3.09029543251357e+002	,-6.80468770208201e-004,-4.50007069098875e-003
3.16227766016836e+002	,-6.80470101000461e-004,-4.60489079371259e-003
3.23593656929626e+002	,-6.80471494509779e-004,-4.71215246962607e-003
3.31131121482589e+002	,-6.80472953692049e-004,-4.82191259022788e-003
3.38844156139200e+002	,-6.80474481643969e-004,-4.93422935172071e-003
3.46736850452529e+002	,-6.80476081608827e-004,-5.04916230586743e-003
3.54813389233573e+002	,-6.80477756975536e-004,-5.16677239156575e-003
3.63078054770099e+002	,-6.80479511295027e-004,-5.28712196715860e-003
3.71535229097170e+002	,-6.80481348296646e-004,-5.41027484349689e-003
3.80189396320558e+002	,-6.80483271872725e-004,-5.53629631777244e-003
3.89045144994278e+002	,-6.80485286108475e-004,-5.66525320813900e-003
3.98107170553494e+002	,-6.80487395263663e-004,-5.79721388913966e-003
4.07380277804110e+002	,-6.80489603826622e-004,-5.93224832795935e-003
4.16869383470332e+002	,-6.80491916473741e-004,-6.07042812152189e-003
4.26579518801589e+002	,-6.80494338109976e-004,-6.21182653445108e-003
4.36515832240163e+002	,-6.80496873877521e-004,-6.35651853791578e-003
4.46683592150960e+002	,-6.80499529150033e-004,-6.50458084938012e-003
4.57088189614872e+002	,-6.80502309559623e-004,-6.65609197327927e-003
4.67735141287195e+002	,-6.80505221006510e-004,-6.81113224264289e-003
4.78630092322635e+002	,-6.80508269665768e-004,-6.96978386168773e-003
4.89778819368443e+002	,-6.80511462002752e-004,-7.13213094940272e-003
5.01187233627268e+002	,-6.80514804788538e-004,-7.29825958414888e-003
5.12861383991361e+002	,-6.80518305116310e-004,-7.46825784929823e-003
5.24807460249769e+002	,-6.80521970408113e-004,-7.64221587993570e-003
5.37031796370249e+002	,-6.80525808438001e-004,-7.82022591064872e-003
5.49540873857620e+002	,-6.80529827344571e-004,-8.00238232442993e-003
5.62341325190345e+002	,-6.80534035658932e-004,-8.18878170271913e-003
5.75439937337152e+002	,-6.80538442302778e-004,-8.37952287661033e-003
5.88843655355584e+002	,-6.80543056624066e-004,-8.57470697925197e-003
6.02559586074353e+002	,-6.80547888412452e-004,-8.77443749946732e-003
6.16595001861477e+002	,-6.80552947913755e-004,-8.97882033662385e-003
6.30957344480188e+002	,-6.80558245857923e-004,-9.18796385678054e-003
6.45654229034650e+002	,-6.80563793485073e-004,-9.40197895014306e-003
6.60693448007591e+002	,-6.80569602563817e-004,-9.62097908985700e-003
6.76082975391976e+002	,-6.80575685410545e-004,-9.84508039217038e-003
6.91830970918931e+002	,-6.80582054930900e-004,-1.00744016779977e-002
7.07945784384132e+002	,-6.80588724634240e-004,-1.03090645359177e-002
7.24435960074984e+002	,-6.80595708676074e-004,-1.05491933866380e-002
7.41310241300911e+002	,-6.80603021852272e-004,-1.07949155489620e-002
7.58577575029177e+002	,-6.80610679684904e-004,-1.10463613072914e-002
