Freq.	V(v1)	V(vb)	V(vout)
2.81838293126445e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67673936304529e-005dB,-1.12660456222694e-002°)
2.88403150312660e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67599588630184e-005dB,-1.15284655296282e-002°)
2.95120922666638e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67521737028892e-005dB,-1.17969979814088e-002°)
3.01995172040201e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67440216447053e-005dB,-1.20717853570288e-002°)
3.09029543251359e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67354853885040e-005dB,-1.23529733523461e-002°)
3.16227766016837e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67265468358628e-005dB,-1.26407110569086e-002°)
3.23593656929628e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67171870146822e-005dB,-1.29351510330032e-002°)
3.31131121482591e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.67073860791854e-005dB,-1.32364493965460e-002°)
3.38844156139202e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66971232443445e-005dB,-1.35447658998570e-002°)
3.46736850452531e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66863767376643e-005dB,-1.38602640163626e-002°)
3.54813389233575e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66751237663951e-005dB,-1.41831110272706e-002°)
3.63078054770101e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66633404481019e-005dB,-1.45134781102651e-002°)
3.71535229097172e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66510018106638e-005dB,-1.48515404302668e-002°)
3.80189396320560e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66380816669121e-005dB,-1.51974772323069e-002°)
3.89045144994280e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66245526107733e-005dB,-1.55514719365652e-002°)
3.98107170553496e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.66103859555520e-005dB,-1.59137122356215e-002°)
4.07380277804112e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.65955516413557e-005dB,-1.62843901939720e-002°)
4.16869383470335e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.65800182138805e-005dB,-1.66637023498639e-002°)
4.26579518801592e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.65637527164056e-005dB,-1.70518498195023e-002°)
4.36515832240165e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.65467206492927e-005dB,-1.74490384036840e-002°)
4.46683592150962e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.65288858831964e-005dB,-1.78554786969150e-002°)
4.57088189614874e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.65102105915616e-005dB,-1.82713861990700e-002°)
4.67735141287197e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.64906551619055e-005dB,-1.86969814296527e-002°)
4.78630092322637e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.64701781148147e-005dB,-1.91324900447171e-002°)
4.89778819368445e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.64487360132986e-005dB,-1.95781429565128e-002°)
